question,intent,subject,topic
What is normalization in DBMS?,Definition,DBMS,Normalization
Explain normalization in DBMS,Explanation,DBMS,Normalization
Give an example of normalization,Example,DBMS,Normalization
Why is normalization useful and give an example?,Explanation|Example,DBMS,Normalization
What are primary and foreign keys?,Definition,DBMS,Keys
Explain the purpose of a foreign key,Explanation,DBMS,Keys
Give an example of a foreign key,Example,DBMS,Keys
What is a database index?,Definition,DBMS,Indexes
Explain how database indexing works,Explanation,DBMS,Indexes
What are database transactions?,Definition,DBMS,Transactions
Explain ACID properties,Explanation,DBMS,Transactions
What is TCP?,Definition,Computer Networks,TCP
Explain how TCP works,Explanation,Computer Networks,TCP
What is UDP?,Definition,Computer Networks,UDP
Explain how UDP works,Explanation,Computer Networks,UDP
Compare TCP and UDP,Comparison,Computer Networks,TCP vs UDP
Explain TCP and compare it with UDP,Explanation|Comparison,Computer Networks,TCP vs UDP
What is TCP and give an example?,Definition|Example,Computer Networks,TCP
Explain TCP and UDP with an example,Explanation|Example,Computer Networks,TCP vs UDP
What is the OSI model?,Definition,Computer Networks,OSI Model
Explain the OSI layers,Explanation,Computer Networks,OSI Model
Give revision notes for the OSI model,Revision,Computer Networks,OSI Model
Explain OSI layers and give revision points,Explanation|Revision,Computer Networks,OSI Model
What is HTTP?,Definition,Computer Networks,HTTP
Explain HTTP,Explanation,Computer Networks,HTTP
Compare HTTP and HTTPS,Comparison,Computer Networks,HTTP vs HTTPS
Explain why HTTPS is safer than HTTP,Explanation|Comparison,Computer Networks,HTTP vs HTTPS
What is LAN?,Definition,Computer Networks,LAN
Compare LAN and WAN,Comparison,Computer Networks,LAN vs WAN
What is inheritance in Java?,Definition,Java,Inheritance
Explain inheritance in Java,Explanation,Java,Inheritance
Give an example of inheritance,Example,Java,Inheritance
Explain inheritance and give an example,Explanation|Example,Java,Inheritance
What is polymorphism?,Definition,Java,Polymorphism
Explain polymorphism in Java,Explanation,Java,Polymorphism
Give an example of polymorphism,Example,Java,Polymorphism
Explain polymorphism with an example and compare it with inheritance,Explanation|Example|Comparison,Java,Polymorphism
What is encapsulation?,Definition,Java,Encapsulation
Explain encapsulation,Explanation,Java,Encapsulation
What is abstraction?,Definition,Java,Abstraction
Explain abstraction with an example,Explanation|Example,Java,Abstraction
What is OOP?,Definition,Java,OOP
Give revision notes for Java OOP,Revision,Java,OOP
Compare class and object,Comparison,Java,Class and Object
What are variables and data types in C?,Definition,C Programming,Variables and Data Types
Explain variables and data types in C,Explanation,C Programming,Variables and Data Types
What are loops in C?,Definition,C Programming,Loops
Explain loops in C with an example,Explanation|Example,C Programming,Loops
What are pointers in C?,Definition,C Programming,Pointers
Explain pointers with an example,Explanation|Example,C Programming,Pointers
What is a factorial program?,Definition,C Programming,Factorial
Solve a factorial problem,Problem Solving,C Programming,Factorial
What is an array?,Definition,Data Structures,Arrays
Explain arrays,Explanation,Data Structures,Arrays
